"","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.EmailAddress","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.EmailAddress.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.EmailAddress.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.3","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.Investigator.FirstName.4","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.EmailAddress.3","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.4","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramElement.Code.5","Award.ProgramElement.Text.5","Award.ProgramElement.Code.6","Award.ProgramElement.Text.6","Award.ProgramElement.Code.7","Award.ProgramElement.Text.7","Award.ProgramElement.Code.8","Award.ProgramElement.Text.8","Award.ProgramElement.Code.9","Award.ProgramElement.Text.9","Award.ProgramElement.Code.10","Award.ProgramElement.Text.10","Award.ProgramElement.Code.11","Award.ProgramElement.Text.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.12","Award.ProgramElement.Code.13","Award.ProgramElement.Text.13","Award.ProgramElement.Code.14","Award.ProgramElement.Code.15","Award.ProgramElement.Code.16","Award.ProgramElement.Code.17","Award.ProgramElement.Code.18","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.FoaInformation.Code.4","Award.FoaInformation.Name.4"
"4435","Analysis of Data From the Meadowcroft Rockshelter","09/01/1975","02/28/1977","61400","Standard Grant","04040400","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","08/19/1975","08/19/1975","7519658","James","Adovasio","09/01/1975","Principal Investigator","University of Pittsburgh","Pittsburgh","152132303","4126247400","University Club","United States","Pennsylvania","PA",NA,NA,"jadovasio@mercyhurst.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4436","Minority Institutions Science Improvement: Individual Institutional Project","06/15/1975","05/31/1977","150000","Standard Grant","05090000","Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","06/27/1975","10/21/1975","7519662","Mahmooda","Kulkarni","06/15/1975","Principal Investigator","Daniel Payne College","Birmingham","35214",NA,"2101 W. Sayreton Road","United States","Alabama","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4437","Travel to Attend: International Astronomical Union (Iau) Colloquim No. 32 on the ""Physics of Ap Stars,"" Vienna, Austria, 09/08-30/75","01/01/1900","08/28/1976","250","Standard Grant","03020400","Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available","08/28/1975","08/28/1975","7519667","Charles","Cowley","01/01/1900","Principal Investigator","Travel Award","Arlington","22230",NA,NA,"United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4438","Tree Structures For Associative Searching in Data Retrieval","05/01/1976","10/31/1978","61700","Standard Grant","05010004","Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","02/17/1976","02/17/1976","7519681","Donald","Stanat","05/01/1976","Principal Investigator","University of North Carolina at Chapel Hill","CHAPEL HILL","275991350","9199663411","104 AIRPORT DR STE 2200","United States","North Carolina","NC",NA,NA,NA,NA,NA,"2814","SOFTWARE SYSTEMS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4439","Diagnostic and Prognostic Studies of Tropical and Mid-Latitude Circulations on the Synoptic and Mesoscale","09/15/1975","09/30/1978","159700","Continuing grant","06020102","Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","09/22/1975","03/20/1978","7519683","Lance","Bosart","09/15/1975","Principal Investigator","SUNY at Albany","Albany","122220100","5184374550","1400 WASHINGTON AVE","United States","New York","NY",NA,NA,"lbosart@albany.edu",NA,NA,"1522","PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4440","Data File From the 1972 Professional Technical & Scientific Manpower Security (Ca164)","04/01/1975","06/30/1975","4400","Interagency Agreement","04030202","Direct For Social, Behav & Economic Scie","National Center For S&E Statistics","name not available","05/06/1975","05/06/1975","7519685","Meyer","Zitter","04/01/1975","Principal Investigator","Bureau of the Census","Washington","20233",NA,NA,"United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4441","A Doctor of Arts Program in Chemistry","06/01/1975","05/31/1979","311075","Standard Grant","05090000","Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","06/24/1975","06/22/1978","7519689","Thomas","Cole","06/01/1975","Principal Investigator","Clark Atlanta University","Atlanta","303144358","4048806990","223 James P. Brawley Dr. S.W.","United States","Georgia","GA",NA,NA,NA,NA,NA,"7220","ALT IN HIGHER ED - MAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4442","Research Initiation - the Optimal Control of Partially Observed Systems Subject to Aging","06/01/1975","02/28/1977","17000","Standard Grant","07010000","Directorate For Engineering","Div Of Electrical, Commun & Cyber Sys","name not available","05/07/1975","05/07/1975","7519692","Chelsea","White","06/01/1975","Principal Investigator","University of Virginia Main Campus","CHARLOTTESVILLE","229044195","4349244270","P.O. BOX 400195","United States","Virginia","VA",NA,NA,"cwhite@isye.gatech.edu",NA,NA,"1454","SYSTEMS THEORY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4443","Inadvertent Weather Modification By Effluents From Coal- Fired Electric Power Plants","06/15/1976","11/30/1978","181400","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","06/24/1976","06/24/1976","7519701","Lawrence","DATA NOT AVAILABLE","06/15/1976","Principal Investigator","University of Washington","Seattle","981950001","2065434043","4333 Brooklyn Ave NE","United States","Washington","WA",NA,"Radke","radke@ucar.edu","06/15/1976","Co-Principal Investigator","5521","WEATHER MODIFICATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4444","Adoption and Utilization of Urban Technology A Decision-Making Study","09/01/1975","02/28/1978","199900","Standard Grant","01080100","Office Of The Director","Office of Planning and Assessment","name not available","06/20/1975","06/20/1975","7519704","W. Henry","Lambright","09/01/1975","Principal Investigator","Syracuse Research Corporation","North Syracuse","132122510","3154255100","6225 Running Ridge Road","United States","New York","NY",NA,NA,"whlambri@maxwell.syr.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4445","World Agriculture: Reassessment of Trends and Policies","12/01/1975","06/30/1979","82500","Standard Grant","07000000","Directorate For Engineering","Directorate For Engineering","name not available","12/16/1975","06/11/1978","7519706",NA,"DATA NOT AVAILABLE","12/01/1975","Principal Investigator","Brookings Institution","Washington","200362103","2027976000","1775 Massachusetts Ave NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4446","Optimization of Power System Operation, Security And Savings","06/01/1975","11/30/1976","149200","Standard Grant","07000000","Directorate For Engineering","Directorate For Engineering","name not available","06/30/1975","06/30/1975","7519711","A.","El Abiad","06/01/1975","Principal Investigator","Purdue University","West Lafayette","479072114","7654941055","Young Hall","United States","Indiana","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4447","Purchase of Instrumentation For the Determination of Carbon Hydrogen, Nitrogen, Oxygen and Sulfur in Environmental Samples","04/15/1976","09/30/1977","15800","Standard Grant","06040302","Directorate For Geosciences","Division Of Ocean Sciences","name not available","05/07/1976","05/07/1976","7519713","Robert","Duce","04/15/1976","Principal Investigator","University of Rhode Island","KINGSTON","028811967","4018742635","RESEARCH OFFICE","United States","Rhode Island","RI",NA,NA,"rduce@ocean.tamu.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4448","The Role of Education in Social Mobility","06/01/1975","11/30/1976","10100","Standard Grant","04040700","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","06/26/1975","06/26/1975","7519714","Maurice","Garnier","06/01/1975","Principal Investigator","Indiana University","Bloomington","474013654","8128550516","509 E 3RD ST","United States","Indiana","IN",NA,NA,NA,NA,NA,"1331","SOCIOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4449","Elementary Particle Theory","10/01/1975","06/14/1978","108300","Continuing grant","03010500","Direct For Mathematical & Physical Scien","Division Of Physics","name not available","10/03/1975","09/14/1976","7519720","John","Brehm","10/01/1975","Principal Investigator","University of Massachusetts Amherst","Hadley","010359450","4135450698","Research Administration Building","United States","Massachusetts","MA","Arthur","Swift","golowich@physics.umass.edu","10/01/1975","Co-Principal Investigator","1275","THEORET-ELEMENTARY PARTIC",NA,NA,"holstein@physics.umass.edu","Eugene","Golowich",NA,"10/01/1975","Co-Principal Investigator","Barry","Holstein","10/01/1975","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4450","Curatorship of Antarctic Collections","07/01/1975","10/31/1993","2670604","Contract","01020304","Office Of The Director","Office of Polar Programs","Scott Borg","08/22/1975","06/01/2004","7519723","James","Cowart","07/01/1975","Principal Investigator","Florida State University","TALLAHASSEE","323064166","8506445260","874 Traditions Way, 3rd Floor","United States","Florida","FL",NA,NA,NA,NA,NA,"5112","ANTARCTIC EARTH SCIENCES","5130","ANTARCTIC COORDINATION & INFOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0102000","Data Banks","0311000","Polar Programs-Related","5133","CURATORIAL SERVICES(US ANTARC)",NA,NA,NA,NA,NA,NA,"42","Geological Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0104000","Information Systems",NA,NA
"4451","An Integrated Theory of Information Transfer","09/01/1975","02/28/1978","45700","Standard Grant","05020000","Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","08/13/1975","08/13/1975","7519725","William","Goffman","09/01/1975","Principal Investigator","Case Western Reserve University","CLEVELAND","441064901","2163684510","Nord Hall, Suite 615","United States","Ohio","OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4452","Study of Corrosion Mechanisms of Alloys in Gas Mixtures","02/01/1976","08/01/1978","78000","Standard Grant","03070004","Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","02/12/1976","02/12/1976","7519730","Frederick","Pettit","02/01/1976","Principal Investigator","Pratt and Whitney Aircraft","East Hartford","06108",NA,NA,"United States","Connecticut","CT",NA,NA,"pettit@engrmg.pitt.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4453","Minority Institutions Science Improvement","08/01/1975","07/31/1977","379470","Standard Grant","05090000","Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","08/04/1975","07/26/1976","7519732","Walter","Gross","08/01/1975","Principal Investigator","CUNY Laguardia Community College","Long Island City","111013071","7184825074","31-10 Thomson Avenue","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4454","Conference on Genetic Basis of Epidemics in Agriculture to Be Held in New York, New Yor During April 1976","11/01/1975","05/01/1977","4000","Standard Grant","08070100","Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","10/09/1975","10/09/1975","7519733","Peter","Day","11/01/1975","Principal Investigator","New York Academy of Sciences","New York","100072157","2122988605","7 WTC, 40th Fl","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4455","Typing of Human and Murine Hematopoietic Cell Lines","07/01/1975","01/31/1979","130000","Standard Grant","08070600","Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","06/12/1975","08/30/1977","7519734","Peter","Ralph","07/01/1975","Principal Investigator","Sloan Kettering Institute For Cancer Research","New York","100650000","6462273273","1275 York Avenue","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4456","Spectrophotometric Studies in Plants and Photosynthetic Bacteria","10/01/1975","03/31/1977","20000","Continuing grant","08070400","Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","08/29/1975","08/29/1975","7519736","David","Knaff","10/01/1975","Principal Investigator","University of California-Berkeley","BERKELEY","947045940","5106428109","Sponsored Projects Office","United States","California","CA",NA,NA,"david.knaff@ttu.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4457","High Energy Interactions Using Bubble Chambers","09/15/1975","02/28/1977","130000","Standard Grant","03010200","Direct For Mathematical & Physical Scien","Division Of Physics","name not available","09/19/1975","09/19/1975","7519739","Raymond","Ammar","09/15/1975","Principal Investigator","University of Kansas Main Campus","Lawrence","660457563","7858643441","2385 Irving Hill Road","United States","Kansas","KS","Robert","Stump","ammar@kuhep2.phsx.ukans.edu","09/15/1975","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4458","Structure of Turbulent Boundary-Layers","11/15/1975","04/30/1979","161100","Continuing grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","11/19/1975","11/15/1977","7519741","Richard","Kaplan","11/15/1975","Co-Principal Investigator","University of Southern California","Los Angeles","900890001","2137407762","University Park","United States","California","CA","John","Laufer","kaplan@usc.edu","11/15/1975","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4459","A Two-Dimensional Global Climatic Model","10/01/1975","03/31/1979","96600","Standard Grant","06020106","Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","10/08/1975","10/21/1977","7519742","William","Sellers","10/01/1975","Principal Investigator","University of Arizona","Tucson","857194824","5206266000","888 N Euclid Ave","United States","Arizona","AZ",NA,NA,NA,NA,NA,"5740","CLIMATE & LARGE-SCALE DYNAMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4460","Language and Communication","07/01/1975","12/31/1977","86500","Continuing grant","08090200","Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","06/30/1975","08/18/1977","7519748","David","Premack","07/01/1975","Principal Investigator","University of Pennsylvania","Philadelphia","191046205","2158987293","Research Services","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4461","Photometric and Spectorgraphic Investigations of Dwarf Cepheid Variable Stars","09/15/1975","02/28/1978","44300","Continuing grant","03020400","Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available","09/11/1975","04/28/1977","7519751","D.","McNamara","09/15/1975","Principal Investigator","Brigham Young University","Provo","846021231","8014226177","A-285 ASB","United States","Utah","UT",NA,NA,NA,NA,NA,"1215","STELLAR ASTRONOMY & ASTROPHYSC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4462","Polarimetry and Photometry of the Binary Star X-Ray Source, Cygnus X-1","06/01/1975","04/30/1978","38700","Standard Grant","03020400","Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available","06/12/1975","09/22/1976","7519754","James","Kemp","06/01/1975","Principal Investigator","University of Oregon Eugene","Eugene","974035219","5413465131","5219 UNIVERSITY OF OREGON","United States","Oregon","OR",NA,NA,NA,NA,NA,"1215","STELLAR ASTRONOMY & ASTROPHYSC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4463","Solar Magnetic and Velocity Fields","02/01/1976","07/31/1978","70900","Continuing grant","03020400","Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available","02/27/1976","03/11/1977","7519756","Robert","Howard","02/01/1976","Principal Investigator","Carnegie Institution of Washington","WASHINGTON","200051910","2023876400","1530 P ST NW","United States","District of Columbia","DC",NA,NA,"rhoward@noao.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4464","Effects of Nutrient Cycling on the Stability of Micro- Ecosystems","09/01/1975","02/28/1979","57700","Continuing grant","08010208","Direct For Biological Sciences","Division Of Environmental Biology","name not available","08/07/1975","08/10/1977","7519765","Frank","Golley","09/01/1975","Principal Investigator","University of Georgia","Athens","306021589","7065425939","310 East Campus Rd","United States","Georgia","GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
